Date,City,Confirmed,OBJECTID
10/23/2020,Amman,1416,4
10/23/2020,Zarqa,256,6
10/23/2020,Jerash,66,12
10/23/2020,irbid ,321,7
10/23/2020,Madaba,101,3
10/23/2020,Ajloun,1,9
10/23/2020,Karak,179,11
10/23/2020,Balqa,77,8
10/23/2020,Maan,15,1
10/23/2020,Mafraq,19,10
10/23/2020,Tafilah,5,5
10/23/2020,Aqaba,31,2
10/24/2020,Amman,1050,4
10/24/2020,Zarqa,235,6
10/24/2020,Jerash,40,12
10/24/2020,irbid ,205,7
10/24/2020,Madaba,26,3
10/24/2020,Ajloun,21,9
10/24/2020,Karak,31,11
10/24/2020,Balqa,45,8
10/24/2020,Maan,66,1
10/24/2020,Mafraq,36,10
10/24/2020,Tafilah,0,5
10/24/2020,Aqaba,63,2
10/25/2020,Amman,1733,4
10/25/2020,Zarqa,0,6
10/25/2020,Jerash,12,12
10/25/2020,irbid ,386,7
10/25/2020,Madaba,2,3
10/25/2020,Ajloun,15,9
10/25/2020,Karak,21,11
10/25/2020,Balqa,31,8
10/25/2020,Maan,21,1
10/25/2020,Mafraq,1,10
10/25/2020,Tafilah,32,5
10/25/2020,Aqaba,83,2
10/26/2020,Amman,1159,4
10/26/2020,Zarqa,154,6
10/26/2020,Jerash,61,12
10/26/2020,irbid ,171,7
10/26/2020,Madaba,25,3
10/26/2020,Ajloun,36,9
10/26/2020,Karak,98,11
10/26/2020,Balqa,56,8
10/26/2020,Maan,33,1
10/26/2020,Mafraq,117,10
10/26/2020,Tafilah,16,5
10/26/2020,Aqaba,42,2
10/27/2020,Amman,2253,4
10/27/2020,Zarqa,562,6
10/27/2020,Jerash,143,12
10/27/2020,irbid ,383,7
10/27/2020,Madaba,4,3
10/27/2020,Ajloun,41,9
10/27/2020,Karak,87,11
10/27/2020,Balqa,44,8
10/27/2020,Maan,47,1
10/27/2020,Mafraq,76,10
10/27/2020,Tafilah,98,5
10/27/2020,Aqaba,62,2
10/28/2020,Amman,1329,4
10/28/2020,Zarqa,849,6
10/28/2020,Jerash,10,12
10/28/2020,irbid ,226,7
10/28/2020,Madaba,83,3
10/28/2020,Ajloun,62,9
10/28/2020,Karak,100,11
10/28/2020,Balqa,252,8
10/28/2020,Maan,28,1
10/28/2020,Mafraq,92,10
10/28/2020,Tafilah,26,5
10/28/2020,Aqaba,30,2
10/29/2020,Amman,2105,4
10/29/2020,Zarqa,537,6
10/29/2020,Jerash,44,12
10/29/2020,irbid ,198,7
10/29/2020,Madaba,17,3
10/29/2020,Ajloun,23,9
10/29/2020,Karak,46,11
10/29/2020,Balqa,138,8
10/29/2020,Maan,31,1
10/29/2020,Mafraq,145,10
10/29/2020,Tafilah,10,5
10/29/2020,Aqaba,149,2
10/30/2020,Amman,2322,4
10/30/2020,Zarqa,280,6
10/30/2020,Jerash,59,12
10/30/2020,irbid ,418,7
10/30/2020,Madaba,84,3
10/30/2020,Ajloun,101,9
10/30/2020,Karak,73,11
10/30/2020,Balqa,132,8
10/30/2020,Maan,118,1
10/30/2020,Mafraq,69,10
10/30/2020,Tafilah,166,5
10/30/2020,Aqaba,89,2
10/31/2020,Amman,1534,4
10/31/2020,Zarqa,498,6
10/31/2020,Jerash,151,12
10/31/2020,irbid ,369,7
10/31/2020,Madaba,82,3
10/31/2020,Ajloun,83,9
10/31/2020,Karak,128,11
10/31/2020,Balqa,132,8
10/31/2020,Maan,109,1
10/31/2020,Mafraq,99,10
10/31/2020,Tafilah,53,5
10/31/2020,Aqaba,63,2
11/1/2020,Amman,2199,4
11/1/2020,Zarqa,264,6
11/1/2020,Jerash,8,12
11/1/2020,irbid ,197,7
11/1/2020,Madaba,85,3
11/1/2020,Ajloun,86,9
11/1/2020,Karak,66,11
11/1/2020,Balqa,71,8
11/1/2020,Maan,118,1
11/1/2020,Mafraq,42,10
11/1/2020,Tafilah,35,5
11/1/2020,Aqaba,88,2
11/2/2020,Amman,3361,4
11/2/2020,Zarqa,884,6
11/2/2020,Jerash,75,12
11/2/2020,irbid ,623,7
11/2/2020,Madaba,8,3
11/2/2020,Ajloun,108,9
11/2/2020,Karak,87,11
11/2/2020,Balqa,294,8
11/2/2020,Maan,197,1
11/2/2020,Mafraq,75,10
11/2/2020,Tafilah,58,5
11/2/2020,Aqaba,107,2
11/3/2020,Amman,2477,4
11/3/2020,Zarqa,1127,6
11/3/2020,Jerash,148,12
11/3/2020,irbid ,507,7
11/3/2020,Madaba,10,3
11/3/2020,Ajloun,31,9
11/3/2020,Karak,137,11
11/3/2020,Balqa,98,8
11/3/2020,Maan,39,1
11/3/2020,Mafraq,97,10
11/3/2020,Tafilah,28,5
11/3/2020,Aqaba,134,2
11/4/2020,Amman,2274,4
11/4/2020,Zarqa,528,6
11/4/2020,Jerash,4,12
11/4/2020,irbid ,670,7
11/4/2020,Madaba,99,3
11/4/2020,Ajloun,89,9
11/4/2020,Karak,23,11
11/4/2020,Balqa,444,8
11/4/2020,Maan,136,1
11/4/2020,Mafraq,213,10
11/4/2020,Tafilah,47,5
11/4/2020,Aqaba,131,2
11/5/2020,Amman,2833,4
11/5/2020,Zarqa,703,6
11/5/2020,Jerash,7,12
11/5/2020,irbid ,421,7
11/5/2020,Madaba,20,3
11/5/2020,Ajloun,119,9
11/5/2020,Karak,75,11
11/5/2020,Balqa,152,8
11/5/2020,Maan,110,1
11/5/2020,Mafraq,73,10
11/5/2020,Tafilah,0,5
11/5/2020,Aqaba,117,2
11/6/2020,Amman,3339,4
11/6/2020,Zarqa,762,6
11/6/2020,Jerash,243,12
11/6/2020,irbid ,398,7
11/6/2020,Madaba,151,3
11/6/2020,Ajloun,44,9
11/6/2020,Karak,98,11
11/6/2020,Balqa,275,8
11/6/2020,Maan,204,1
11/6/2020,Mafraq,10,10
11/6/2020,Tafilah,96,5
11/6/2020,Aqaba,73,2
11/7/2020,Amman,1731,4
11/7/2020,Zarqa,477,6
11/7/2020,Jerash,73,12
11/7/2020,irbid ,509,7
11/7/2020,Madaba,48,3
11/7/2020,Ajloun,122,9
11/7/2020,Karak,128,11
11/7/2020,Balqa,89,8
11/7/2020,Maan,35,1
11/7/2020,Mafraq,118,10
11/7/2020,Tafilah,38,5
11/7/2020,Aqaba,186,2
11/8/2020,Amman,2317,4
11/8/2020,Zarqa,828,6
11/8/2020,Jerash,79,12
11/8/2020,irbid ,439,7
11/8/2020,Madaba,72,3
11/8/2020,Ajloun,5,9
11/8/2020,Karak,203,11
11/8/2020,Balqa,133,8
11/8/2020,Maan,113,1
11/8/2020,Mafraq,126,10
11/8/2020,Tafilah,27,5
11/8/2020,Aqaba,177,2
11/9/2020,Amman,3147,4
11/9/2020,Zarqa,631,6
11/9/2020,Jerash,231,12
11/9/2020,irbid ,581,7
11/9/2020,Madaba,66,3
11/9/2020,Ajloun,34,9
11/9/2020,Karak,279,11
11/9/2020,Balqa,170,8
11/9/2020,Maan,172,1
11/9/2020,Mafraq,79,10
11/9/2020,Tafilah,89,5
11/9/2020,Aqaba,186,2
11/10/2020,Amman,2987,4
11/10/2020,Zarqa,1062,6
11/10/2020,Jerash,80,12
11/10/2020,irbid ,511,7
11/10/2020,Madaba,176,3
11/10/2020,Ajloun,67,9
11/10/2020,Karak,266,11
11/10/2020,Balqa,274,8
11/10/2020,Maan,104,1
11/10/2020,Mafraq,58,10
11/10/2020,Tafilah,158,5
11/10/2020,Aqaba,253,2
11/11/2020,Amman,2514,4
11/11/2020,Zarqa,795,6
11/11/2020,Jerash,200,12
11/11/2020,irbid ,704,7
11/11/2020,Madaba,223,3
11/11/2020,Ajloun,261,9
11/11/2020,Karak,26,11
11/11/2020,Balqa,289,8
11/11/2020,Maan,85,1
11/11/2020,Mafraq,54,10
11/11/2020,Tafilah,95,5
11/11/2020,Aqaba,173,2
11/12/2020,Amman,2533,4
11/12/2020,Zarqa,762,6
11/12/2020,Jerash,32,12
11/12/2020,irbid ,601,7
11/12/2020,Madaba,54,3
11/12/2020,Ajloun,335,9
11/12/2020,Karak,308,11
11/12/2020,Balqa,605,8
11/12/2020,Maan,60,1
11/12/2020,Mafraq,184,10
11/12/2020,Tafilah,106,5
11/12/2020,Aqaba,105,2
11/13/2020,Amman,2084,4
11/13/2020,Zarqa,142,6
11/13/2020,Jerash,494,12
11/13/2020,irbid ,1109,7
11/13/2020,Madaba,84,3
11/13/2020,Ajloun,59,9
11/13/2020,Karak,121,11
11/13/2020,Balqa,100,8
11/13/2020,Maan,3,1
11/13/2020,Mafraq,224,10
11/13/2020,Tafilah,42,5
11/13/2020,Aqaba,7,2
11/14/2020,Amman,2102,4
11/14/2020,Zarqa,348,6
11/14/2020,Jerash,139,12
11/14/2020,irbid ,1133,7
11/14/2020,Madaba,29,3
11/14/2020,Ajloun,237,9
11/14/2020,Karak,129,11
11/14/2020,Balqa,167,8
11/14/2020,Maan,40,1
11/14/2020,Mafraq,174,10
11/14/2020,Tafilah,220,5
11/14/2020,Aqaba,32,2
11/15/2020,Amman,1145,4
11/15/2020,Zarqa,168,6
11/15/2020,Jerash,115,12
11/15/2020,irbid ,269,7
11/15/2020,Madaba,139,3
11/15/2020,Ajloun,118,9
11/15/2020,Karak,48,11
11/15/2020,Balqa,54,8
11/15/2020,Maan,49,1
11/15/2020,Mafraq,26,10
11/15/2020,Tafilah,95,5
11/15/2020,Aqaba,47,2
11/16/2020,Amman,3169,4
11/16/2020,Zarqa,437,6
11/16/2020,Jerash,202,12
11/16/2020,irbid ,769,7
11/16/2020,Madaba,140,3
11/16/2020,Ajloun,101,9
11/16/2020,Karak,130,11
11/16/2020,Balqa,293,8
11/16/2020,Maan,114,1
11/16/2020,Mafraq,102,10
11/16/2020,Tafilah,123,5
